file,line,class,method,route,reason_excerpt,classification,first_tenant_exposed,fix_pr_or_acceptance,owner,notes
apps/api/app/Http/Controllers/Api/Admin/SuperAdminController.php,104,SuperAdminController,getTenantPlanUsage,TBD,Super-admin plan-usage probe: reads any tenant's plan limits and current usage via PlanEnforcementService::getPlanSummary to advise upgrades,legitimate-platform,no,legitimate-platform 2026-05-13 — auto-locked from generator heuristic (Spatie/super-admin/webhook/static-reference); see scripts/generate-cross-tenant-inventory.py classify(),@otospexsolutions,
apps/api/app/Http/Controllers/Api/Admin/SuperAdminController.php,114,SuperAdminController,extendTrial,TBD,Tenant lifecycle: super-admin extends the trial period on any tenant's subscription (writes tenant_subscriptions.trial_ends_at + status=tria,legitimate-platform,no,legitimate-platform 2026-05-13 — auto-locked from generator heuristic (Spatie/super-admin/webhook/static-reference); see scripts/generate-cross-tenant-inventory.py classify(),@otospexsolutions,
apps/api/app/Http/Controllers/Api/Admin/SuperAdminController.php,155,SuperAdminController,changePlan,TBD,Tenant lifecycle: super-admin changes the subscription plan on any tenant (writes tenant_subscriptions.plan_id); logged to AdminAuditLog via,legitimate-platform,no,legitimate-platform 2026-05-13 — auto-locked from generator heuristic (Spatie/super-admin/webhook/static-reference); see scripts/generate-cross-tenant-inventory.py classify(),@otospexsolutions,
apps/api/app/Http/Controllers/Api/Admin/SuperAdminController.php,196,SuperAdminController,suspendTenant,TBD,Tenant lifecycle: super-admin suspends any tenant for billing or abuse reasons (writes tenants.status=suspended); logged to AdminAuditLog wi,legitimate-platform,no,legitimate-platform 2026-05-13 — auto-locked from generator heuristic (Spatie/super-admin/webhook/static-reference); see scripts/generate-cross-tenant-inventory.py classify(),@otospexsolutions,
apps/api/app/Http/Controllers/Api/Admin/SuperAdminController.php,227,SuperAdminController,activateTenant,TBD,Tenant lifecycle: super-admin reactivates any tenant after suspension/expiration (writes tenants.status=active); logged to AdminAuditLog wit,legitimate-platform,no,legitimate-platform 2026-05-13 — auto-locked from generator heuristic (Spatie/super-admin/webhook/static-reference); see scripts/generate-cross-tenant-inventory.py classify(),@otospexsolutions,
apps/api/app/Http/Controllers/Api/Admin/SuperAdminController.php,257,SuperAdminController,updateExtras,TBD,Tenant lifecycle: super-admin updates the optional-modules whitelist (tenants.enabled_extras) on any tenant after vertical-compatibility val,legitimate-platform,no,legitimate-platform 2026-05-13 — auto-locked from generator heuristic (Spatie/super-admin/webhook/static-reference); see scripts/generate-cross-tenant-inventory.py classify(),@otospexsolutions,
apps/api/app/Http/Controllers/Api/Admin/SuperAdminController.php,311,SuperAdminController,auditLogs,TBD,Super-admin audit-log viewer: reads admin_audit_logs joined to super_admins (actor) and tenants (target) across all tenants and super-admin ,legitimate-platform,no,legitimate-platform 2026-05-13 — auto-locked from generator heuristic (Spatie/super-admin/webhook/static-reference); see scripts/generate-cross-tenant-inventory.py classify(),@otospexsolutions,
apps/api/app/Http/Controllers/Api/Admin/SuperAdminController.php,341,SuperAdminController,users,TBD,Super-admin user directory: lists users across all tenants with optional name/email search; tenant_id filter; email_verified filter; and sta,legitimate-platform,no,legitimate-platform 2026-05-13 — auto-locked from generator heuristic (Spatie/super-admin/webhook/static-reference); see scripts/generate-cross-tenant-inventory.py classify(),@otospexsolutions,
apps/api/app/Http/Controllers/Api/Admin/SuperAdminController.php,378,SuperAdminController,showUser,TBD,Super-admin user detail view: reads any user by id with their tenant relation and a cross-tenant join on user_company_memberships + companie,legitimate-platform,no,legitimate-platform 2026-05-13 — auto-locked from generator heuristic (Spatie/super-admin/webhook/static-reference); see scripts/generate-cross-tenant-inventory.py classify(),@otospexsolutions,
apps/api/app/Http/Controllers/Api/Admin/SuperAdminController.php,403,SuperAdminController,verifyUserEmail,TBD,Super-admin email-verification override: manually stamps email_verified_at on any user (cross-tenant); logged to AdminAuditLog via AdminAudi,legitimate-platform,no,legitimate-platform 2026-05-13 — auto-locked from generator heuristic (Spatie/super-admin/webhook/static-reference); see scripts/generate-cross-tenant-inventory.py classify(),@otospexsolutions,
apps/api/app/Http/Controllers/Api/CountryController.php,17,CountryController,index,TBD,Public reference data: lists active countries with their default VAT rates from the platform-level countries catalog (App\\Models\\Country);,legitimate-platform,no,legitimate-platform 2026-05-13 — auto-locked from generator heuristic (Spatie/super-admin/webhook/static-reference); see scripts/generate-cross-tenant-inventory.py classify(),@otospexsolutions,
apps/api/app/Http/Controllers/Api/CountryController.php,33,CountryController,show,TBD,Public reference data: reads a single country by ISO code from the platform-level Country catalog with tax rates eager-loaded; no auth; no t,legitimate-platform,no,legitimate-platform 2026-05-13 — auto-locked from generator heuristic (Spatie/super-admin/webhook/static-reference); see scripts/generate-cross-tenant-inventory.py classify(),@otospexsolutions,
apps/api/app/Modules/Accounting/Presentation/Controllers/OpeningBalanceBatchController.php,348,OpeningBalanceBatchController,types,TBD,Static enum endpoint: returns the OpeningBatchType enum cases (value/label/row_type/affects_gl) for UI dropdown population. No DB access; en,legitimate-platform,no,legitimate-platform 2026-05-13 — auto-locked from generator heuristic (Spatie/super-admin/webhook/static-reference); see scripts/generate-cross-tenant-inventory.py classify(),@otospexsolutions,
apps/api/app/Modules/Admin/Presentation/Controllers/MonitoringController.php,27,MonitoringController,ping,TBD,Public load-balancer health probe: reachability check used by Dokploy / upstream load balancers via /v1/health (no auth; no tenant); must re,legitimate-platform,no,legitimate-platform 2026-05-13 — auto-locked from generator heuristic (Spatie/super-admin/webhook/static-reference); see scripts/generate-cross-tenant-inventory.py classify(),@otospexsolutions,
apps/api/app/Modules/Admin/Presentation/Controllers/MonitoringController.php,41,MonitoringController,health,TBD,Super-admin platform health check: detailed reachability diagnostics across the fleet's shared infrastructure (DB; Redis; queue workers) via,legitimate-platform,no,legitimate-platform 2026-05-13 — auto-locked from generator heuristic (Spatie/super-admin/webhook/static-reference); see scripts/generate-cross-tenant-inventory.py classify(),@otospexsolutions,
apps/api/app/Modules/Admin/Presentation/Controllers/MonitoringController.php,54,MonitoringController,systemHealth,TBD,Super-admin system-health monitor: fleet-wide CPU/memory/disk/error-rate metrics aggregated across the platform via MonitoringService::getSy,legitimate-platform,no,legitimate-platform 2026-05-13 — auto-locked from generator heuristic (Spatie/super-admin/webhook/static-reference); see scripts/generate-cross-tenant-inventory.py classify(),@otospexsolutions,
apps/api/app/Modules/Admin/Presentation/Controllers/MonitoringController.php,65,MonitoringController,performance,TBD,Super-admin performance monitor: fleet-wide request-latency / throughput metrics via MonitoringService::getPerformanceMetrics for platform o,legitimate-platform,no,legitimate-platform 2026-05-13 — auto-locked from generator heuristic (Spatie/super-admin/webhook/static-reference); see scripts/generate-cross-tenant-inventory.py classify(),@otospexsolutions,
apps/api/app/Modules/Admin/Presentation/Controllers/MonitoringController.php,76,MonitoringController,critical,TBD,Super-admin critical-metric monitor: fleet-wide business-critical KPIs (failed-payment rate; fiscal-chain break count; etc.) via MonitoringS,legitimate-platform,no,legitimate-platform 2026-05-13 — auto-locked from generator heuristic (Spatie/super-admin/webhook/static-reference); see scripts/generate-cross-tenant-inventory.py classify(),@otospexsolutions,
apps/api/app/Modules/Admin/Presentation/Controllers/MonitoringController.php,87,MonitoringController,queues,TBD,Super-admin queue monitor: fleet-wide queue depth + processing rate + failed-job counts via MonitoringService::getQueueMonitoring; queue inf,legitimate-platform,no,legitimate-platform 2026-05-13 — auto-locked from generator heuristic (Spatie/super-admin/webhook/static-reference); see scripts/generate-cross-tenant-inventory.py classify(),@otospexsolutions,
apps/api/app/Modules/Admin/Presentation/Controllers/MonitoringController.php,98,MonitoringController,dashboard,TBD,Super-admin monitoring dashboard: combined system + performance + critical + queue dashboard for platform operations; aggregates fleet-wide ,legitimate-platform,no,legitimate-platform 2026-05-13 — auto-locked from generator heuristic (Spatie/super-admin/webhook/static-reference); see scripts/generate-cross-tenant-inventory.py classify(),@otospexsolutions,
apps/api/app/Modules/Admin/Presentation/Controllers/MonitoringController.php,114,MonitoringController,retryFailedJob,TBD,Super-admin queue operation: requeues a specific failed job by id; failed_jobs / jobs are platform-level Laravel queue infrastructure shared,legitimate-platform,no,legitimate-platform 2026-05-13 — auto-locked from generator heuristic (Spatie/super-admin/webhook/static-reference); see scripts/generate-cross-tenant-inventory.py classify(),@otospexsolutions,
apps/api/app/Modules/Admin/Presentation/Controllers/MonitoringController.php,147,MonitoringController,deleteFailedJob,TBD,Super-admin queue operation: deletes a specific failed job permanently from the failed_jobs table; platform-level Laravel queue infrastructu,legitimate-platform,no,legitimate-platform 2026-05-13 — auto-locked from generator heuristic (Spatie/super-admin/webhook/static-reference); see scripts/generate-cross-tenant-inventory.py classify(),@otospexsolutions,
apps/api/app/Modules/Admin/Presentation/Controllers/MonitoringController.php,166,MonitoringController,retryAllFailedJobs,TBD,Super-admin queue operation: bulk-retries every failed job in the platform-level failed_jobs queue; requeueing each into the jobs table and ,legitimate-platform,no,legitimate-platform 2026-05-13 — auto-locked from generator heuristic (Spatie/super-admin/webhook/static-reference); see scripts/generate-cross-tenant-inventory.py classify(),@otospexsolutions,
apps/api/app/Modules/Admin/Presentation/Controllers/MonitoringController.php,200,MonitoringController,flushFailedJobs,TBD,Super-admin queue operation: flushes (truncates) the platform-level failed_jobs queue without retrying; destructive operation; super_admin g,legitimate-platform,no,legitimate-platform 2026-05-13 — auto-locked from generator heuristic (Spatie/super-admin/webhook/static-reference); see scripts/generate-cross-tenant-inventory.py classify(),@otospexsolutions,
apps/api/app/Modules/Admin/Presentation/Controllers/MonitoringController.php,219,MonitoringController,testSentry,TBD,Super-admin Sentry probe: throws a controlled RuntimeException to validate the Sentry error-tracking pipeline; production-environment-blocke,legitimate-platform,no,legitimate-platform 2026-05-13 — auto-locked from generator heuristic (Spatie/super-admin/webhook/static-reference); see scripts/generate-cross-tenant-inventory.py classify(),@otospexsolutions,
apps/api/app/Modules/Billing/Presentation/Controllers/AdminBillingController.php,37,AdminBillingController,dashboard,TBD,Super-admin billing dashboard: aggregates fleet-wide MRR/ARR/revenue; active+trial+past_due subscription counts; and outstanding/overdue inv,legitimate-platform,no,legitimate-platform 2026-05-13 — auto-locked from generator heuristic (Spatie/super-admin/webhook/static-reference); see scripts/generate-cross-tenant-inventory.py classify(),@otospexsolutions,
apps/api/app/Modules/Billing/Presentation/Controllers/AdminBillingController.php,61,AdminBillingController,providers,TBD,Super-admin payment-provider config view: reads PaymentProviderManager::getProviderStatus — payment provider configuration (Stripe/PayPal/et,legitimate-platform,no,legitimate-platform 2026-05-13 — auto-locked from generator heuristic (Spatie/super-admin/webhook/static-reference); see scripts/generate-cross-tenant-inventory.py classify(),@otospexsolutions,
apps/api/app/Modules/Billing/Presentation/Controllers/AdminBillingController.php,72,AdminBillingController,listPlans,TBD,Super-admin plan catalog: lists all subscription plans from the platform-level Plan catalog ordered by display_order; not tenant-scoped by d,legitimate-platform,no,legitimate-platform 2026-05-13 — auto-locked from generator heuristic (Spatie/super-admin/webhook/static-reference); see scripts/generate-cross-tenant-inventory.py classify(),@otospexsolutions,
apps/api/app/Modules/Billing/Presentation/Controllers/AdminBillingController.php,83,AdminBillingController,listSubscriptions,TBD,Super-admin subscription directory: lists subscriptions across all tenants with status + plan_id filters for fleet-wide billing operations a,legitimate-platform,no,legitimate-platform 2026-05-13 — auto-locked from generator heuristic (Spatie/super-admin/webhook/static-reference); see scripts/generate-cross-tenant-inventory.py classify(),@otospexsolutions,
apps/api/app/Modules/Billing/Presentation/Controllers/AdminBillingController.php,106,AdminBillingController,getSubscription,TBD,Super-admin subscription detail view: reads any tenant's subscription by id with tenant + plan + invoices relations for fleet-wide support a,legitimate-platform,no,legitimate-platform 2026-05-13 — auto-locked from generator heuristic (Spatie/super-admin/webhook/static-reference); see scripts/generate-cross-tenant-inventory.py classify(),@otospexsolutions,
apps/api/app/Modules/Billing/Presentation/Controllers/AdminBillingController.php,118,AdminBillingController,listInvoices,TBD,Super-admin invoice directory: lists invoices across all tenants with status + tenant_id filters for fleet-wide billing reconciliation; supe,legitimate-platform,no,legitimate-platform 2026-05-13 — auto-locked from generator heuristic (Spatie/super-admin/webhook/static-reference); see scripts/generate-cross-tenant-inventory.py classify(),@otospexsolutions,
apps/api/app/Modules/Billing/Presentation/Controllers/AdminBillingController.php,141,AdminBillingController,getInvoice,TBD,Super-admin invoice detail view: reads any tenant's invoice by id with line items; payments; and subscription/plan join for fleet-wide billi,legitimate-platform,no,legitimate-platform 2026-05-13 — auto-locked from generator heuristic (Spatie/super-admin/webhook/static-reference); see scripts/generate-cross-tenant-inventory.py classify(),@otospexsolutions,
apps/api/app/Modules/Billing/Presentation/Controllers/AdminBillingController.php,153,AdminBillingController,downloadInvoice,TBD,Super-admin invoice PDF download: generates and serves a PDF for any tenant's invoice via InvoiceService::generatePdf for the billing consol,legitimate-platform,no,legitimate-platform 2026-05-13 — auto-locked from generator heuristic (Spatie/super-admin/webhook/static-reference); see scripts/generate-cross-tenant-inventory.py classify(),@otospexsolutions,
apps/api/app/Modules/Billing/Presentation/Controllers/AdminBillingController.php,168,AdminBillingController,createInvoice,TBD,Super-admin manual invoice creation: creates an invoice for any tenant via InvoiceService::createManualInvoice (out-of-band charges; contrac,legitimate-platform,no,legitimate-platform 2026-05-13 — auto-locked from generator heuristic (Spatie/super-admin/webhook/static-reference); see scripts/generate-cross-tenant-inventory.py classify(),@otospexsolutions,
apps/api/app/Modules/Billing/Presentation/Controllers/AdminBillingController.php,197,AdminBillingController,listPayments,TBD,Super-admin payment directory: lists payments across all tenants with status + provider + tenant_id filters for fleet-wide finance reconcili,legitimate-platform,no,legitimate-platform 2026-05-13 — auto-locked from generator heuristic (Spatie/super-admin/webhook/static-reference); see scripts/generate-cross-tenant-inventory.py classify(),@otospexsolutions,
apps/api/app/Modules/Billing/Presentation/Controllers/AdminBillingController.php,224,AdminBillingController,getPayment,TBD,Super-admin payment detail view: reads any tenant's payment by id with refunds + recorder relations for fleet-wide dispute investigation. Cl,legitimate-platform,no,legitimate-platform 2026-05-13 — auto-locked from generator heuristic (Spatie/super-admin/webhook/static-reference); see scripts/generate-cross-tenant-inventory.py classify(),@otospexsolutions,
apps/api/app/Modules/Billing/Presentation/Controllers/AdminBillingController.php,236,AdminBillingController,recordPayment,TBD,Super-admin manual payment record: records an out-of-band payment (manual / bank_transfer / cash / check) on any tenant's invoice; recorded_,legitimate-platform,no,legitimate-platform 2026-05-13 — auto-locked from generator heuristic (Spatie/super-admin/webhook/static-reference); see scripts/generate-cross-tenant-inventory.py classify(),@otospexsolutions,
apps/api/app/Modules/Billing/Presentation/Controllers/AdminBillingController.php,287,AdminBillingController,refundPayment,TBD,Super-admin payment refund: processes a refund (full or partial) on any tenant's payment; routes through PaymentProviderManager for online p,legitimate-platform,no,legitimate-platform 2026-05-13 — auto-locked from generator heuristic (Spatie/super-admin/webhook/static-reference); see scripts/generate-cross-tenant-inventory.py classify(),@otospexsolutions,
apps/api/app/Modules/Billing/Presentation/Controllers/AdminBillingController.php,349,AdminBillingController,updateSubscription,TBD,Super-admin subscription manual edit: changes status (active/paused/cancelled) or appends admin notes on any tenant's subscription via the d,legitimate-platform,no,legitimate-platform 2026-05-13 — auto-locked from generator heuristic (Spatie/super-admin/webhook/static-reference); see scripts/generate-cross-tenant-inventory.py classify(),@otospexsolutions,
apps/api/app/Modules/Billing/Presentation/Controllers/StripeWebhookController.php,74,StripeWebhookController,handle,TBD,Stripe webhook entry: tenant resolved from the verified Stripe-signed payload via globally-unique resource IDs (sub_*/in_*/pi_*) per master ,legitimate-platform,no,legitimate-platform 2026-05-13 — auto-locked from generator heuristic (Spatie/super-admin/webhook/static-reference); see scripts/generate-cross-tenant-inventory.py classify(),@otospexsolutions,
apps/api/app/Modules/Identity/Presentation/Controllers/RoleController.php,59,RoleController,index,TBD,Spatie TeamScope auto-scoping: the SetPermissionsTeam middleware (mounted on every tenant-scoped route group at routes/api.php:48) sets the ,legitimate-platform,no,legitimate-platform 2026-05-13 — auto-locked from generator heuristic (Spatie/super-admin/webhook/static-reference); see scripts/generate-cross-tenant-inventory.py classify(),@otospexsolutions,
apps/api/app/Modules/Identity/Presentation/Controllers/RoleController.php,86,RoleController,show,TBD,Spatie TeamScope auto-scoping: Role::with('permissions')->findOrFail($id) is filtered by Spatie's package-level global scope to the active t,legitimate-platform,no,legitimate-platform 2026-05-13 — auto-locked from generator heuristic (Spatie/super-admin/webhook/static-reference); see scripts/generate-cross-tenant-inventory.py classify(),@otospexsolutions,
apps/api/app/Modules/Identity/Presentation/Controllers/RoleController.php,111,RoleController,store,TBD,Spatie TeamScope auto-scoping: Role::create() inserts the new role with team_id auto-stamped by Spatie's permission registrar (SetPermission,legitimate-platform,no,legitimate-platform 2026-05-13 — auto-locked from generator heuristic (Spatie/super-admin/webhook/static-reference); see scripts/generate-cross-tenant-inventory.py classify(),@otospexsolutions,
apps/api/app/Modules/Identity/Presentation/Controllers/RoleController.php,151,RoleController,update,TBD,Spatie TeamScope auto-scoping: Role::findOrFail($id) is filtered by team_id (Spatie global scope set by SetPermissionsTeam middleware); a ro,legitimate-platform,no,legitimate-platform 2026-05-13 — auto-locked from generator heuristic (Spatie/super-admin/webhook/static-reference); see scripts/generate-cross-tenant-inventory.py classify(),@otospexsolutions,
apps/api/app/Modules/Identity/Presentation/Controllers/RoleController.php,204,RoleController,destroy,TBD,Spatie TeamScope auto-scoping: Role::findOrFail($id) is team-scoped via Spatie. System-role guard prevents deleting protected names; users-c,legitimate-platform,no,legitimate-platform 2026-05-13 — auto-locked from generator heuristic (Spatie/super-admin/webhook/static-reference); see scripts/generate-cross-tenant-inventory.py classify(),@otospexsolutions,
apps/api/app/Modules/Identity/Presentation/Controllers/RoleController.php,247,RoleController,permissions,TBD,Permissions catalog: Permission::all() returns the platform-defined permission catalog. Permissions in Spatie's package are platform-shared ,legitimate-platform,no,legitimate-platform 2026-05-13 — auto-locked from generator heuristic (Spatie/super-admin/webhook/static-reference); see scripts/generate-cross-tenant-inventory.py classify(),@otospexsolutions,
apps/api/app/Modules/Marketplace/Presentation/Controllers/MarketplaceListingController.php,28,MarketplaceListingController,index,TBD,Marketplace cross-tenant discovery: by data design; the marketplace is a B2B peer-to-peer listing surface where every tenant can search ever,legitimate-platform,yes,legitimate-platform 2026-05-13 — marketplace cross-tenant discovery is the feature,@otospexsolutions,
apps/api/app/Modules/Marketplace/Presentation/Controllers/MarketplaceListingController.php,51,MarketplaceListingController,show,TBD,Marketplace cross-tenant discovery: reads any listing by id from the platform-shared marketplace. Listings are intentionally public-to-buyer,legitimate-platform,yes,legitimate-platform 2026-05-13 — marketplace cross-tenant discovery is the feature,@otospexsolutions,
apps/api/app/Modules/Marketplace/Presentation/Controllers/MarketplaceListingController.php,64,MarketplaceListingController,priceComparison,TBD,Marketplace cross-tenant price discovery: country-scoped price comparison across all sellers via PriceComparisonService::findBetterPrices; q,legitimate-platform,yes,legitimate-platform 2026-05-13 — marketplace cross-tenant discovery is the feature,@otospexsolutions,
apps/api/app/Modules/Marketplace/Presentation/Controllers/MarketplaceSellerController.php,21,MarketplaceSellerController,index,TBD,Super-admin marketplace management: lists all marketplace sellers across all tenants for platform-operations review (mounted under the /admi,legitimate-platform,no,legitimate-platform 2026-05-13 — auto-locked from generator heuristic (Spatie/super-admin/webhook/static-reference); see scripts/generate-cross-tenant-inventory.py classify(),@otospexsolutions,
apps/api/app/Modules/Marketplace/Presentation/Controllers/MarketplaceSellerController.php,63,MarketplaceSellerController,update,TBD,Super-admin marketplace management: edits any marketplace seller record across the fleet (display_name; commission_rate; seller_status; sett,legitimate-platform,no,legitimate-platform 2026-05-13 — auto-locked from generator heuristic (Spatie/super-admin/webhook/static-reference); see scripts/generate-cross-tenant-inventory.py classify(),@otospexsolutions,
apps/api/app/Modules/Marketplace/Presentation/Controllers/MarketplaceSellerController.php,83,MarketplaceSellerController,suspend,TBD,Super-admin marketplace management: suspends any marketplace seller across the fleet (sets seller_status=Suspended); mounted under the /admi,legitimate-platform,no,legitimate-platform 2026-05-13 — auto-locked from generator heuristic (Spatie/super-admin/webhook/static-reference); see scripts/generate-cross-tenant-inventory.py classify(),@otospexsolutions,
apps/api/app/Modules/Media/Presentation/Controllers/AttachmentController.php,155,AttachmentController,config,TBD,Static config endpoint: returns AttachmentService::MAX_FILE_SIZE and ALLOWED_MIME_TYPES platform constants for UI dropdown population. No DB,legitimate-platform,no,legitimate-platform 2026-05-13 — auto-locked from generator heuristic (Spatie/super-admin/webhook/static-reference); see scripts/generate-cross-tenant-inventory.py classify(),@otospexsolutions,
apps/api/app/Modules/PlatformIntegration/Presentation/Controllers/BarcodeLookupController.php,19,BarcodeLookupController,__invoke,TBD,PlatformIntegration outbound: BarcodeLookupService::lookup makes a tenant-tagged HTTP GET to the upstream Synerivia barcode catalog via Plat,legitimate-platform,no,legitimate-platform 2026-05-13 — auto-locked from generator heuristic (Spatie/super-admin/webhook/static-reference); see scripts/generate-cross-tenant-inventory.py classify(),@otospexsolutions,
apps/api/app/Modules/PlatformIntegration/Presentation/Controllers/EnrichmentWebhookController.php,47,EnrichmentWebhookController,__invoke,TBD,Synerivia enrichment webhook entry: signature verified at the route layer via VerifySynerivaWebhookSignature middleware BEFORE this controll,legitimate-platform,no,legitimate-platform 2026-05-13 — auto-locked from generator heuristic (Spatie/super-admin/webhook/static-reference); see scripts/generate-cross-tenant-inventory.py classify(),@otospexsolutions,
apps/api/app/Modules/PlatformIntegration/Presentation/Controllers/VinDecodeController.php,14,VinDecodeController,decode,TBD,STUB shape: returns a hardcoded 'not yet configured' placeholder response. ZERO DB access; ZERO service calls; ZERO side-effects. Phase 4 wi,legitimate-platform,no,legitimate-platform 2026-05-13 — auto-locked from generator heuristic (Spatie/super-admin/webhook/static-reference); see scripts/generate-cross-tenant-inventory.py classify(),@otospexsolutions,
apps/api/app/Modules/PlatformIntegration/Presentation/Controllers/VinDecodeController.php,40,VinDecodeController,confirmMatch,TBD,STUB shape: returns 501 Not Implemented placeholder. ZERO DB access; ZERO service calls. Phase 4 placeholder mirroring decode(); no tenant c,legitimate-platform,no,legitimate-platform 2026-05-13 — auto-locked from generator heuristic (Spatie/super-admin/webhook/static-reference); see scripts/generate-cross-tenant-inventory.py classify(),@otospexsolutions,
apps/api/app/Modules/Product/Presentation/Controllers/CertificationController.php,27,CertificationController,index,TBD,Certifications catalog: global reference data (the certifications table has no tenant_id column — every tenant queries the same shared regul,legitimate-platform,yes,legitimate-platform 2026-05-13 — platform-shared regulatory reference data (no tenant_id on table),@otospexsolutions,
apps/api/app/Modules/Product/Presentation/Controllers/CertificationController.php,58,CertificationController,show,TBD,Certifications catalog: reads a single global certification record from the platform-shared regulatory catalog (no tenant_id on table).,legitimate-platform,yes,legitimate-platform 2026-05-13 — platform-shared regulatory reference data (no tenant_id on table),@otospexsolutions,
apps/api/app/Modules/Product/Presentation/Controllers/CertificationController.php,88,CertificationController,store,TBD,Certifications catalog: creates a new entry in the platform-shared regulatory certification catalog with locale translations; every tenant s,legitimate-platform,yes,legitimate-platform 2026-05-13 — platform-shared regulatory reference data (no tenant_id on table),@otospexsolutions,
apps/api/app/Modules/Product/Presentation/Controllers/CertificationController.php,145,CertificationController,update,TBD,Certifications catalog: updates a global certification record in the platform-shared regulatory catalog (no tenant_id on table); cross-tenan,legitimate-platform,yes,legitimate-platform 2026-05-13 — platform-shared regulatory reference data (no tenant_id on table),@otospexsolutions,
apps/api/app/Modules/Product/Presentation/Controllers/CertificationController.php,232,CertificationController,destroy,TBD,Certifications catalog: deletes a global certification record (no tenant_id on table) after checking certification_product usage; destructiv,legitimate-platform,yes,legitimate-platform 2026-05-13 — platform-shared regulatory reference data (no tenant_id on table),@otospexsolutions,
apps/api/app/Modules/Product/Presentation/Controllers/HealthClaimController.php,27,HealthClaimController,index,TBD,Health claims catalog: global reference data (the health_claims table has no tenant_id column — every tenant queries the same shared regulat,legitimate-platform,yes,legitimate-platform 2026-05-13 — platform-shared regulatory reference data (no tenant_id on table),@otospexsolutions,
apps/api/app/Modules/Product/Presentation/Controllers/HealthClaimController.php,58,HealthClaimController,show,TBD,Health claims catalog: reads a single global health-claim record from the platform-shared regulatory catalog (no tenant_id on table).,legitimate-platform,yes,legitimate-platform 2026-05-13 — platform-shared regulatory reference data (no tenant_id on table),@otospexsolutions,
