ID,Section,Title,Preconditions,Steps,Expected Result,Status,Actual Behavior,Severity,Notes,Tester,Date
D01,Hold,"Hold a cart, recall it later",Cart with items,"1. Add items. 2. Tap Hold. 3. Cart clears. 4. Tap Recall (or held orders list). 5. Pick the held cart.","Held cart appears in the list. Recalling restores all items, prices, discounts.",,,,,,
D02,Hold,Complete sale from recalled cart,After D01,"1. Recall held cart. 2. Tap Pay. 3. Complete cash sale.",Sale completes. Receipt printed. Held cart removed from list.,,,,,,
D03,Offline,"Disconnect mid-shift, complete sale offline",Open shift; turn off WiFi or unplug ethernet,"1. Disconnect network. 2. Add product. 3. Pay cash. 4. Confirm.","Sale still completes. Receipt prints with a fiscal hash. App may show ""offline"" indicator.",,,,,,
D04,Offline,"Reconnect, sync queue drains",Continuing from D03,"1. Reconnect network. 2. Wait ~30 seconds. 3. Look at sync indicator / pending count.",Sync indicator shows queue draining. Pending count reaches zero. No errors in console.,,,,Verifies fiscal chain integrity across offline → online,,
E01,EOD,Open End-of-Day modal,Open shift with at least one cash sale,1. Tap End of Day / Close Shift.,"EOD modal opens. Shows per-tender expected amounts (Cash, Card, etc.). Lists each tender row with expected and an empty actual field.",,,,PR #37 cash counting,,
E02,EOD,Per-tender breakdown shows ALL enabled tenders,Same as E01,1. Look at tender list.,"All enabled tenders appear, even those with zero transactions in this shift.",,,,Audit G15 fix,,
E03,EOD,Enter actual cash count (matching expected),EOD open,1. Enter actual cash equal to expected. 2. Tap Confirm.,"Variance = 0. Severity = ""Balanced"" or ""Info"". No manager PIN required. Z-report can be generated.",,,,,,
E04,EOD,Variance within soft threshold,Soft = €5 (default),"1. Enter actual cash = expected + 3.00 (€3 over). 2. Confirm.","Variance shown. Severity = ""Warning"" or similar non-critical. May require a reason note but NOT manager PIN. Z-report can be generated.",,,,,,
E05,EOD,Variance within hard threshold (manager PIN),Hard = €20 (default),"1. Enter actual cash = expected + 15.00. 2. Confirm.","Manager PIN modal appears. Cashier cannot proceed without manager. Manager enters PIN, sale proceeds.",,,,PR #37 ManagerPin,,
E06,EOD,Variance over hard threshold,Default settings,"1. Enter actual cash = expected + 50.00. 2. Confirm.","Either (a) blocked outright with a critical error, OR (b) requires manager PIN AND fires a fraud alert.",,,,,,
E07,EOD,Blind mode on (Otospex-style),Tenant has blind_count = ON,"1. Open EOD. 2. Verify expected amounts are HIDDEN. 3. Enter actual. 4. Confirm.","Expected column shows ""—"" or hidden. Cashier counts blind. Reveal happens after confirm.",,,,Otospex tenants typically blind=ON; IziPOS typically OFF,,
E08,EOD,Reason note required for variance,Variance in soft+ range,"1. Enter actual cash with €3 over. 2. Try to confirm without reason note.","Form rejects with ""Reason required"" message. Adding reason allows confirm.",,,,,,
F01,Z,Generate Z-report after EOD,EOD completed,"1. After EOD confirm, generate Z-report (or it auto-prints). 2. Look at the printed Z.","Z prints. Contains: shift open/close times, opening cash, expected/actual per tender, variance, cash count details, manager override info if used, fiscal hash.",,,,PR #37 schema-2 Z,,
F02,Z,Z-report includes tolerance_summary,At least one B06-style tolerance writeoff in this shift,"1. After E01-style EOD, generate Z. 2. Look for ""Tolerance Writeoffs"" or similar block.","Z shows total tolerance writeoff amount, count of writeoffs, currency. Even if shift had ZERO writeoffs, the block exists with zeros.",,,,Phase 2 A1 + Phase 4 wiring,,
F03,Z,Receipt-printer-formatted Z-report,F01 succeeded,1. Look at the Z output as it was printed. 2. Verify amounts use currency-native scale.,"EUR amounts: 2 decimals. TND amounts: 3 decimals. NOT all printed at scale 3.",,,,PR #45 currency-aware print,,
F04,Z,Z-report cash-count strings are localized,"Test in EN, then in FR (if FR locale available)","1. Set app language to FR. 2. Generate Z (run a quick shift end-to-end in FR). 3. Look at Z labels.","""CASH COUNT"" → ""RAPPROCHEMENT CAISSE"" (or similar FR translation). NOT hardcoded English on the receipt.",,,,Audit HIGH-6 fix,,
G01,Permissions,Cashier role limitations,Logged in as cashier,1. Try to access fraud / cash-control settings page (admin).,Access denied or menu item hidden. Cashier cannot configure tolerance/fraud thresholds.,,,,,,
G02,Permissions,Manager role,Logged in as manager,1. Verify EOD escalation modal works. 2. Manager can enter PIN to override.,Manager-PIN flow works as in E05.,,,,,,
G03,Permissions,Operator role for delivery edit/delete,Logged in as operator (if role is in scope),1. Try to edit a delivery note. 2. Try to delete one.,Operator can edit AND delete delivery notes (per the new permissions in audit HIGH-E remediation).,,,,If operator role isn't in IziPOS UI; mark N/A,,
